Nome,Acurácia,Acurácia Balanceada,Precisão,Recall,F1-score,F1-score Balanceada,Matriz de Confusão,Predição
logreg,0.1024565084360521,0.4999807829783309,0.10214701123792033,0.9995721009841677,0.1853526938030628,0.019632932866443208,"[[    8 20533]
 [    1  2336]]",[1 1 1 ... 1 1 1]
KNN,0.6326601975697176,0.38682839712103395,0.02830041984139325,0.07787762088147197,0.041514598540145976,0.698090880018811,"[[14292  6249]
 [ 2155   182]]",[0 0 0 ... 0 0 0]
GaussianNB,0.8978494623655914,0.5,0.0,0.0,0.0,0.849523287337415,"[[20541     0]
 [ 2337     0]]",[0 0 0 ... 0 0 0]
Perceptron,0.10232537809249061,0.49990775829598827,0.10213361315145156,0.9995721009841677,0.1853306358840097,0.019368597601477598,"[[    5 20536]
 [    1  2336]]",[1 1 1 ... 1 1 1]
LinearSVC,0.1023690882070111,0.4999320998567691,0.10213807878973373,0.9995721009841677,0.1853379879403364,0.01945671779995924,"[[    6 20535]
 [    1  2336]]",[1 1 1 ... 1 1 1]
SGD,0.1025002185505726,0.5000051245391117,0.10215147804792724,0.9995721009841677,0.18536004760960126,0.01972102773694224,"[[    9 20532]
 [    1  2336]]",[1 1 1 ... 1 1 1]
Dtree,0.8115656963021243,0.5643872716697542,0.18765822784810127,0.2537441163885323,0.21575404766236128,0.823745655735556,"[[17974  2567]
 [ 1744   593]]",[1 1 1 ... 0 0 0]
RForest,0.8531340152111199,0.5909490390208031,0.27216035634743874,0.26144629867351304,0.2666957660410301,0.8518236659877351,"[[18907  1634]
 [ 1726   611]]",[1 0 0 ... 0 0 0]
ADA,0.38906372934697087,0.38958668029794075,0.0677361853832442,0.3902439024390244,0.11543573191570153,0.4907048152230428,"[[ 7989 12552]
 [ 1425   912]]",[0 0 0 ... 1 1 1]
GBC,0.2086720867208672,0.33311810269063924,0.06336194959844918,0.4895164741121095,0.11220086308356217,0.26845503472319965,"[[ 3630 16911]
 [ 1193  1144]]",[1 1 1 ... 1 1 1]
ETC,0.7745869394177812,0.5913859059800809,0.18722271517302574,0.36114676936243045,0.24660336011687364,0.8040452507092484,"[[16877  3664]
 [ 1493   844]]",[0 0 0 ... 0 0 0]
logreg,0.1022816679779701,0.49988341673520736,0.10212914790364185,0.9995721009841677,0.18532328441094806,0.01928046895783797,"[[    4 20537]
 [    1  2336]]",[1 1 1 ... 1 1 1]
KNN,0.7831104117492788,0.4586667486592924,0.04156479217603912,0.050919982884039365,0.04576923076923076,0.792673521059751,"[[17797  2744]
 [ 2218   119]]",[0 0 0 ... 0 0 0]
GaussianNB,0.8978494623655914,0.5,0.0,0.0,0.0,0.849523287337415,"[[20541     0]
 [ 2337     0]]",[0 0 0 ... 0 0 0]
Perceptron,0.10215053763440861,0.49981039205286476,0.1021157545025354,0.9995721009841677,0.18530123349065958,0.01901603234348036,"[[    1 20540]
 [    1  2336]]",[1 1 1 ... 1 1 1]
LinearSVC,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
SGD,0.10232537809249061,0.49990775829598827,0.10213361315145156,0.9995721009841677,0.1853306358840097,0.019368597601477598,"[[    5 20536]
 [    1  2336]]",[1 1 1 ... 1 1 1]
Dtree,0.2941253606084448,0.3846876209070947,0.07217197373311857,0.4985023534445871,0.12608907408409545,0.3791692047067196,"[[ 5564 14977]
 [ 1172  1165]]",[0 0 0 ... 1 1 1]
RForest,0.8660284989946674,0.4940350364739072,0.07276995305164319,0.026529738981600343,0.038883662590153655,0.8371725758133132,"[[19751   790]
 [ 2275    62]]",[0 0 0 ... 0 0 0]
ADA,0.2910219424774893,0.3842866257215992,0.07222530350650151,0.501497646555413,0.12626589097177335,0.37518131124089005,"[[ 5486 15055]
 [ 1165  1172]]",[0 0 0 ... 1 1 1]
GBC,0.30732581519363583,0.3833168066946979,0.07105664211328423,0.47881899871630296,0.12374896322919547,0.39629799407026145,"[[ 5912 14629]
 [ 1218  1119]]",[0 0 0 ... 1 1 1]
ETC,0.8840807762916338,0.5088282997547908,0.17791411042944785,0.037227214377406934,0.06157112526539279,0.8486743510622723,"[[20139   402]
 [ 2250    87]]",[0 0 0 ... 0 0 0]
logreg,0.10232537809249061,0.49990775829598827,0.10213361315145156,0.9995721009841677,0.1853306358840097,0.019368597601477598,"[[    5 20536]
 [    1  2336]]",[1 1 1 ... 1 1 1]
KNN,0.7440335693679517,0.43614696153264715,0.03067484662576687,0.04920838682071031,0.037791652974038775,0.7691712952552269,"[[16907  3634]
 [ 2222   115]]",[0 0 0 ... 0 0 0]
GaussianNB,0.8978494623655914,0.5,0.0,0.0,0.0,0.849523287337415,"[[20541     0]
 [ 2337     0]]",[0 0 0 ... 0 0 0]
Perceptron,0.10215053763440861,0.49981039205286476,0.1021157545025354,0.9995721009841677,0.18530123349065958,0.01901603234348036,"[[    1 20540]
 [    1  2336]]",[1 1 1 ... 1 1 1]
LinearSVC,0.10215053763440861,0.5,0.10215053763440861,1.0,0.1853658536585366,0.01893522161028062,"[[    0 20541]
 [    0  2337]]",[1 1 1 ... 1 1 1]
SGD,0.10232537809249061,0.49990775829598827,0.10213361315145156,0.9995721009841677,0.1853306358840097,0.019368597601477598,"[[    5 20536]
 [    1  2336]]",[1 1 1 ... 1 1 1]
Dtree,0.8359559402045633,0.5337912109029694,0.16853932584269662,0.1540436456996149,0.16096579476861167,0.832669526445083,"[[18765  1776]
 [ 1977   360]]",[0 0 0 ... 0 0 0]
RForest,0.8865722528193024,0.5030106667281611,0.13764044943820225,0.020967051775780916,0.03639064240623839,0.8474618849808266,"[[20234   307]
 [ 2288    49]]",[0 0 0 ... 0 0 0]
ADA,0.18253343823760818,0.3333512692202245,0.0649688978680419,0.5228925973470261,0.1155774141681642,0.22734853894755866,"[[ 2954 17587]
 [ 1115  1222]]",[0 0 0 ... 1 1 1]
GBC,0.2068362619110062,0.3338022286620597,0.06364890974330666,0.4933675652545999,0.11275180911402309,0.26550147279587816,"[[ 3579 16962]
 [ 1184  1153]]",[1 1 1 ... 1 1 1]
ETC,0.8896319608357374,0.503576928300011,0.15693430656934307,0.018399657680787333,0.032937571811566445,0.8486686852636697,"[[20310   231]
 [ 2294    43]]",[0 0 0 ... 0 0 0]
